,Entity,Code,Year,Political regime
172,Afghanistan,AFG,1961,0
173,Afghanistan,AFG,1962,0
174,Afghanistan,AFG,1963,0
175,Afghanistan,AFG,1964,0
176,Afghanistan,AFG,1965,0
177,Afghanistan,AFG,1966,0
178,Afghanistan,AFG,1967,0
179,Afghanistan,AFG,1968,0
180,Afghanistan,AFG,1969,0
181,Afghanistan,AFG,1970,0
182,Afghanistan,AFG,1971,0
183,Afghanistan,AFG,1972,0
184,Afghanistan,AFG,1973,1
185,Afghanistan,AFG,1974,0
186,Afghanistan,AFG,1975,0
187,Afghanistan,AFG,1976,0
188,Afghanistan,AFG,1977,0
189,Afghanistan,AFG,1978,0
190,Afghanistan,AFG,1979,0
191,Afghanistan,AFG,1980,0
192,Afghanistan,AFG,1981,0
193,Afghanistan,AFG,1982,0
194,Afghanistan,AFG,1983,0
195,Afghanistan,AFG,1984,0
196,Afghanistan,AFG,1985,0
197,Afghanistan,AFG,1986,0
198,Afghanistan,AFG,1987,0
199,Afghanistan,AFG,1988,0
200,Afghanistan,AFG,1989,0
279,Albania,ALB,1961,0
280,Albania,ALB,1962,0
281,Albania,ALB,1963,0
282,Albania,ALB,1964,0
283,Albania,ALB,1965,0
284,Albania,ALB,1966,0
285,Albania,ALB,1967,0
286,Albania,ALB,1968,0
287,Albania,ALB,1969,0
288,Albania,ALB,1970,0
289,Albania,ALB,1971,0
290,Albania,ALB,1972,0
291,Albania,ALB,1973,0
292,Albania,ALB,1974,0
293,Albania,ALB,1975,0
294,Albania,ALB,1976,0
295,Albania,ALB,1977,0
296,Albania,ALB,1978,0
297,Albania,ALB,1979,0
298,Albania,ALB,1980,0
299,Albania,ALB,1981,0
300,Albania,ALB,1982,0
301,Albania,ALB,1983,0
302,Albania,ALB,1984,0
303,Albania,ALB,1985,0
304,Albania,ALB,1986,0
305,Albania,ALB,1987,0
306,Albania,ALB,1988,0
307,Albania,ALB,1989,0
400,Algeria,DZA,1961,0
401,Algeria,DZA,1962,1
402,Algeria,DZA,1963,1
403,Algeria,DZA,1964,1
404,Algeria,DZA,1965,0
405,Algeria,DZA,1966,0
406,Algeria,DZA,1967,0
407,Algeria,DZA,1968,0
408,Algeria,DZA,1969,0
409,Algeria,DZA,1970,0
410,Algeria,DZA,1971,0
411,Algeria,DZA,1972,0
412,Algeria,DZA,1973,0
413,Algeria,DZA,1974,0
414,Algeria,DZA,1975,0
415,Algeria,DZA,1976,0
416,Algeria,DZA,1977,0
417,Algeria,DZA,1978,0
418,Algeria,DZA,1979,0
419,Algeria,DZA,1980,0
420,Algeria,DZA,1981,0
421,Algeria,DZA,1982,0
422,Algeria,DZA,1983,0
423,Algeria,DZA,1984,0
424,Algeria,DZA,1985,0
425,Algeria,DZA,1986,0
426,Algeria,DZA,1987,0
427,Algeria,DZA,1988,0
428,Algeria,DZA,1989,0
521,Angola,AGO,1961,0
522,Angola,AGO,1962,0
523,Angola,AGO,1963,0
524,Angola,AGO,1964,0
525,Angola,AGO,1965,0
526,Angola,AGO,1966,0
527,Angola,AGO,1967,0
528,Angola,AGO,1968,0
529,Angola,AGO,1969,0
530,Angola,AGO,1970,0
531,Angola,AGO,1971,0
532,Angola,AGO,1972,0
533,Angola,AGO,1973,0
534,Angola,AGO,1974,0
535,Angola,AGO,1975,0
536,Angola,AGO,1976,0
537,Angola,AGO,1977,0
538,Angola,AGO,1978,0
539,Angola,AGO,1979,0
540,Angola,AGO,1980,0
541,Angola,AGO,1981,0
542,Angola,AGO,1982,0
543,Angola,AGO,1983,0
544,Angola,AGO,1984,0
545,Angola,AGO,1985,0
546,Angola,AGO,1986,0
547,Angola,AGO,1987,0
548,Angola,AGO,1988,0
549,Angola,AGO,1989,0
732,Argentina,ARG,1961,1
733,Argentina,ARG,1962,0
734,Argentina,ARG,1963,1
735,Argentina,ARG,1964,2
736,Argentina,ARG,1965,2
737,Argentina,ARG,1966,0
738,Argentina,ARG,1967,0
